p_values1,var,alpha_corr,significant
.00013038531,1,.0027777778,1
.0069770566,2,.0035714286,0
.64416653,3,.016666668,0
.2244495,4,.0062500001,0
.17895417,5,.0055555557,0
.31517661,6,.0071428572,0
.10667543,7,.0045454544,0
.50559086,8,.0099999998,0
.56877869,9,.0125,0
.99993587,10,.050000001,0
.13620766,11,.0049999999,0
.00096640369,12,.0029411765,1
.027932627,13,.0041666669,0
.4522942,14,.0083333338,0
4.9525570e-06,15,.0026315791,1
.75042623,16,.025,0
2.6398175e-07,17,.0024999999,1
.01894081,18,.0038461538,0
4.5481706e-08,19,.0023809525,1
.0028419145,20,.003125,1
.0035431823,21,.0033333334,0
