		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Illiteracy	Without primary	Without toilet	Without electricity	Without water	Overcrowding	Earthen floor	Low salary
									
cartel2010	Cartel presence 2010	-15.21***	-39.53**	-6.240	-5.171*	2.708	-24.31**	-7.718	-30.91**
		(3.555)	(15.35)	(4.836)	(3.136)	(8.360)	(10.21)	(8.039)	(12.80)
dalemanes	German presence		2.320	-0.677	0.136	-1.308	3.303**	-0.598	1.611
			(2.720)	(0.617)	(0.577)	(1.633)	(1.477)	(1.217)	(2.516)
tempopium	Poppy suitability		2.165	-0.387	0.697	0.500	-1.347	0.0420	1.118
			(1.564)	(1.142)	(0.771)	(1.229)	(1.104)	(1.098)	(1.688)
TempMed_Anual	Average temperature		0.136	0.168	-0.0467	0.477***	-0.419	-0.406**	-0.172
			(0.226)	(0.122)	(0.0501)	(0.162)	(0.286)	(0.160)	(0.198)
PrecipAnual_med	Average precipitation		0.0463*	-0.00370	0.0178***	0.0294***	0.0527***	0.0507***	0.0360***
			(0.0241)	(0.00594)	(0.00436)	(0.00839)	(0.0168)	(0.0108)	(0.0110)
superficie_km	Surface		0.00132**	0.000456*	0.000374*	0.000408	0.000967*	0.000537*	0.00106**
			(0.000673)	(0.000260)	(0.000215)	(0.000278)	(0.000511)	(0.000321)	(0.000476)
pob1930cabec	Population 1930		5.67e-05	-1.38e-05	4.52e-06	-7.67e-05	3.85e-05	1.03e-05	1.83e-05
			(0.000107)	(3.17e-05)	(2.16e-05)	(7.39e-05)	(7.98e-05)	(5.58e-05)	(8.11e-05)
distancia_km	Distance to US		0.000531	0.00593	0.00521	-0.00307	0.0168*	0.0118	-0.00637
			(0.00617)	(0.00409)	(0.00452)	(0.00610)	(0.00898)	(0.00739)	(0.00584)
distkmDF	Distance to Mexico City		0.00511	-0.000697	-0.000156	-0.00775*	0.00979	0.00274	-0.0132
			(0.00599)	(0.00393)	(0.00236)	(0.00424)	(0.00619)	(0.00435)	(0.00850)
mindistcosta	Distance to closest port		0.00278	-0.00145	-0.00243	-0.000315	0.0115	0.00430	0.00910
			(0.00882)	(0.00529)	(0.00470)	(0.00465)	(0.0109)	(0.00719)	(0.00606)
capestado	Head of state		0.830	-0.965	0.197	-2.761*	-4.066	-0.376	-7.513**
			(2.960)	(1.105)	(0.798)	(1.436)	(2.807)	(1.586)	(3.274)
2.id_estado	id_estado = 2	4.079***	-25.27**	-2.618	-0.867	8.430	-28.04**	-5.803	-11.20
		(1.293)	(11.89)	(7.109)	(5.404)	(7.811)	(11.06)	(7.911)	(13.95)
3.id_estado	id_estado = 3	-1.010***	-22.27*	-8.115	-4.707	5.684	-16.83*	-2.467	-12.52
		(0.129)	(11.73)	(5.143)	(3.461)	(4.634)	(9.321)	(6.069)	(11.55)
4.id_estado	id_estado = 4	0.491	-21.48**	-1.599	-5.494	4.225	-7.654	-6.663	0.982
		(1.293)	(10.61)	(4.298)	(3.489)	(5.829)	(7.709)	(5.414)	(10.60)
5o.id_estado	id_estado = 5, omitted		-	-	-	-	-	-	-
									
6.id_estado	id_estado = 6	-0.479	-8.319**	-5.012***	-3.565*	-2.729	-11.01***	-2.739	-8.692**
